Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1699815,-,-,-,30.12,-95.43,-6,38,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2024,1,1,0,0,11.4,1.16,0.065,0.63,0,0,0,0,1,11.4,0,0,0,0,0.274,100,170.99,0.9500000000000001,0.15,1016,2.2,200,1
2024,1,1,0,15,11.4,1.16,0.065,0.63,0,0,0,0,1,11.4,0,0,0,0,0.274,100,172.58,0.9500000000000001,0.15,1016,2.2,202,1
2024,1,1,0,30,11.3,1.16,0.065,0.63,0,0,0,0,3,11.3,0,0,0,0,0.273,100,172.83,0.9500000000000001,0.15,1016,2.2,204,1
2024,1,1,0,45,11.3,1.1500000000000001,0.067,0.63,0,0,0,0,2,11.3,0,0,0,0,0.273,100,171.62,0.9500000000000001,0.15,1016,2.2,206,1
2024,1,1,1,0,11.3,1.1500000000000001,0.067,0.63,0,0,0,0,0,11.3,0,0,0,0,0.272,100,169.44,0.9500000000000001,0.15,1016,2.2,208,1
2024,1,1,1,15,11.3,1.1500000000000001,0.067,0.63,0,0,0,0,3,11.3,0,0,0,0,0.272,100,166.77,0.9500000000000001,0.15,1016,2.3000000000000003,212,1
2024,1,1,1,30,11.4,1.1500000000000001,0.067,0.63,0,0,0,0,2,11.4,0,0,0,0,0.271,100,163.85,0.9500000000000001,0.15,1016,2.3000000000000003,216,1
2024,1,1,1,45,11.4,1.1300000000000001,0.07200000000000001,0.63,0,0,0,0,0,11.4,0,0,0,0,0.271,100,160.79,0.9500000000000001,0.15,1016,2.3000000000000003,220,1
2024,1,1,2,0,11.4,1.1300000000000001,0.07200000000000001,0.63,0,0,0,0,3,11.4,0,0,0,0,0.27,100,157.65,0.9500000000000001,0.15,1016,2.3000000000000003,224,1
2024,1,1,2,15,11.4,1.1300000000000001,0.07200000000000001,0.63,0,0,0,0,1,11.4,0,0,0,0,0.27,100,154.47,0.9500000000000001,0.15,1016,2.3000000000000003,231,1
